 АРО-244 (дв. D-127) ;7,7
 ВАЗ (LADA) -21703, -21703-110-01 (дв. ВАЗ-21126, 1,6i) ;8,1
 ВАЗ-1111 (дв. ВАЗ-1111) ;6,5
 ВАЗ-11173 1,6i (дв. ВАЗ-21114, -21124);7,5
 ВАЗ-11174-110-30 (дв. ВАЗ-11194, 1,4i) ;7,5
 ВАЗ-11183, -11183-210-20, -11183-11020, 11183-110-30 (дв. ВАЗ-21114, 21114-50) ;8,9
 ВАЗ-11184 (дв. ВАЗ-11194, 1,4i) ;7
 ВАЗ-11193-110-20 (дв. ВАЗ-21114, 1,6i) ;7,5
 ВАЗ-11194 (дв. ВАЗ-11194);7
 ВАЗ-2101 (дв. ВАЗ-2105);9,7
 ВАЗ-2101, -21011, -21013, -21016, 2102 -21021 -21023 -21033 -21035, 2104 -2105 -21051 -21063 21072 (дв. ВАЗ-2101, -21011) ;8,1
 ВАЗ-2103, -21043, -21053, -21061, 2107, -2110 (дв. ВАЗ-2103, -2105) ;8,3
 ВАЗ-21041-20, -030, -282-20 (дв. ВАЗ21067, 1,6i) ;9
 ВАЗ-21043 (дв. ВАЗ-2103) ;9,9
 ВАЗ-21044 (дв. ВАЗ-21073);8,4
 ВАЗ-21045 (дв. ВАЗ 341 Барнаул) ;6,2
 ВАЗ-2105 (дв. ВАЗ-2106);8,7
 ВАЗ-21053 (дв. ВАЗ-2103) ;11,4
 ВАЗ-21053, -2106, -21063, -21074 (дв. ВАЗ-2105, -2106) ;8,7
 ВАЗ-2106 (дв. ВАЗ-2106) ;11,8
 ВАЗ-21061 (дв. ВАЗ-2103) ;11,4
 ВАЗ-21062 (дв. ВАЗ-2103);8,5
 ВАЗ-21063 (дв. ВАЗ-2105);9,3
 ВАЗ-21065 (дв. ВАЗ-2103) ;8,3
 ВАЗ-21065 (дв. ВАЗ-2106) ;8,3
 ВАЗ-2107 (дв. ВАЗ-2103);8,3
 ВАЗ-2107, -045-01 (дв. ВАЗ-2104, 1,5i) ;7,9
 ВАЗ-21073 (дв. ВАЗ-2106);8,7
 ВАЗ-21073 (дв. ВАЗ-21073) ;9,4
 ВАЗ-21074 (дв. ВАЗ-2103) ;9,9
 ВАЗ-21074 (дв. ВАЗ-2106);10,1
 ВАЗ-2108, –2109 (дв. ВАЗ-2108) ;7,6
 ВАЗ-21081, –21091 (дв. ВАЗ-21081) ;7,6
 ВАЗ-21083, –21093, –21093-02, 21093-03, –21099 (дв. ВАЗ-21083) ;7,8
 ВАЗ-2109 (дв. ВАЗ-2108) ;8,9
 ВАЗ-21093 (дв. ВАЗ-2111) ;7,8
 ВАЗ-21099 (дв. ВАЗ-2111) ;7,9
 ВАЗ-21100 (дв. ВАЗ-21083);9,5
 ВАЗ-21101, -21101-01, -21101-110-01 (дв. ВАЗ-21114, 1,6i) ;8,6
 ВАЗ-21102 (дв. ВАЗ-2111) ;8,8
 ВАЗ-21103 (дв. ВАЗ-2112);8,2
 ВАЗ-21104, -21104-01, -21104-02, 21104-126-52 (дв. ВАЗ-2112, 21124) ;7,5
 ВАЗ-21108 (дв. ВАЗ-21128);7,6
 ВАЗ-2111, -21110 (дв. ВАЗ-21083, 21083-80) ;8
 ВАЗ-21110 (дв. ВАЗ-2111) ;8,8
 ВАЗ-21112, -21112-01,-21112-125-51 (дв. ВАЗ-21114, 2111) ;7,5
 ВАЗ-21113 (дв. ВАЗ-2112);8,2
 ВАЗ-21114, -21114-01, -21114-02, 42517 (дв. ВАЗ-21124) ;7,5
 ВАЗ-21120 (дв. ВАЗ-2112) ;7,5
 ВАЗ-21121, -21121-01, 21121-110-01 (дв. ВАЗ-21114) ;7,5
 ВАЗ-21124, -21124-02 (дв. ВАЗ-21124, 2112);8,6
 ВАЗ-21140 1,5i (дв. ВАЗ-21083) ;7,9
 ВАЗ-2115-20 (дв. ВАЗ-2111) ;7,9
 ВАЗ-21150, -21150-20 (дв. ВАЗ-21083, -2111, 1,5i) ;9
 ВАЗ-21154, -21154-110-20, -21154-110-22 (дв. ВАЗ-11183, 1,6i) ;7,6
 ВАЗ-2121 «Нива», -21211 (дв. ВАЗ-2121) 4WD ;11,4
 ВАЗ-21213 (дв. ВАЗ-2107) 4WD ;12,9
 ВАЗ-21213 (дв. ВАЗ-21213) 4WD ;11,6
 ВАЗ-21214, -21214-126-20 (дв. ВАЗ-21214-10, 1,7i) 4WD ;11,6
